DATE,Vacancy Rate
1/1/00,7.9
4/1/00,8
7/1/00,8.2
10/1/00,7.8
1/1/01,8.2
4/1/01,8.3
7/1/01,8.4
10/1/01,8.8
1/1/02,9.1
4/1/02,8.4
7/1/02,9
10/1/02,9.3
1/1/03,9.4
4/1/03,9.6
7/1/03,9.9
10/1/03,10.2
1/1/04,10.4
4/1/04,10.2
7/1/04,10.1
10/1/04,10
1/1/05,10.1
4/1/05,9.8
7/1/05,9.9
10/1/05,9.6
1/1/06,9.5
4/1/06,9.6
7/1/06,9.9
10/1/06,9.8
1/1/07,10.1
4/1/07,9.5
7/1/07,9.8
10/1/07,9.6
1/1/08,10.1
4/1/08,10
7/1/08,9.9
10/1/08,10.1
1/1/09,10.1
4/1/09,10.6
7/1/09,11.1
10/1/09,10.7
1/1/10,10.6
4/1/10,10.6
7/1/10,10.3
10/1/10,9.4
1/1/11,9.7
4/1/11,9.2
7/1/11,9.8
10/1/11,9.4
1/1/12,8.8
4/1/12,8.6
7/1/12,8.6
10/1/12,8.7
1/1/13,8.6
4/1/13,8.2
7/1/13,8.3
10/1/13,8.2
1/1/14,8.3
4/1/14,7.5
7/1/14,7.4
10/1/14,7
1/1/15,7.1
4/1/15,6.8
7/1/15,7.3
10/1/15,7
1/1/16,7
4/1/16,6.7
7/1/16,6.8
10/1/16,6.9
1/1/17,7
4/1/17,7.3
7/1/17,7.5
10/1/17,6.9
1/1/18,7
4/1/18,6.8
7/1/18,7.1
10/1/18,6.6
1/1/19,7
4/1/19,6.8
